"linked_id","before","after"
2044,"lib/cgraph/refstr.c","lib/cgraph/refstr.c"
2044,"lib/cgraph/write.c","lib/cgraph/write.c"
2044,"lib/gvc/gvusershape.c","lib/gvc/gvusershape.c"
2044,"lib/cgraph/cgraph.h","lib/cgraph/cgraph.h"
2044,"CHANGELOG.md","CHANGELOG.md"
1760,"lib/gvc/gvcext.h","lib/gvc/gvcext.h"
1760,"plugin/gd/gvrender_gd.c","plugin/gd/gvrender_gd.c"
1760,"lib/cdt/cdt.h","lib/cdt/cdt.h"
1760,"lib/gvc/gvc.def","lib/gvc/gvc.def"
1760,"cmd/dot/dot.c","cmd/dot/dot.c"
1760,"lib/edgepaint/lab_gamut.h","lib/edgepaint/lab_gamut.h"
1760,"tclpkg/tcldot/tcldot_builtins.c","tclpkg/tcldot/tcldot_builtins.c"
1760,"cmd/tools/gvpack.c","cmd/tools/gvpack.c"
1760,"lib/cgraph/cgraph.h","lib/cgraph/cgraph.h"
1760,"lib/common/globals.h","lib/common/globals.h"
1760,"lib/sfio/sfio.h","lib/sfio/sfio.h"
1760,"cmd/dot/dot_builtins.c","cmd/dot/dot_builtins.c"
3035,"cmd/smyrna/CMakeLists.txt","cmd/smyrna/CMakeLists.txt"
3035,"cmd/dot/CMakeLists.txt","cmd/dot/CMakeLists.txt"
1980,"rtest/test_regression.py","rtest/test_regression.py"
1980,"lib/gvc/gvplugin.c","lib/gvc/gvplugin.c"
1980,"CHANGELOG.md","CHANGELOG.md"
2033,"ci/ubuntu-21.04/Dockerfile","ci/ubuntu-21.04/Dockerfile"
2033,"tests/catch2_main.cpp","tests/catch2_main.cpp"
2033,"tests/svg_analyzer.h","tests/svg_analyzer.h"
2033,"lib/ortho/CMakeLists.txt","lib/ortho/CMakeLists.txt"
2033,"cmake/FindSvgpp.cmake","cmake/FindSvgpp.cmake"
2033,".gitlab-ci.yml",".gitlab-ci.yml"
2033,"gen_version.py","gen_version.py"
2033,"CMakeLists.txt","CMakeLists.txt"
2033,"lib/common/CMakeLists.txt","lib/common/CMakeLists.txt"
2033,"tests/test_GVContext_layout.cpp","tests/test_GVContext_layout.cpp"
2033,"lib/cgraph/AGraph.h","lib/cgraph/AGraph.h"
2033,"tests/test_GVContext_render.cpp","tests/test_GVContext_render.cpp"
2033,"tests/test_AGraph_create.cpp","tests/test_AGraph_create.cpp"
2033,"tests/CMakeLists.txt","tests/CMakeLists.txt"
2033,"lib/gvc/GVLayout.cpp","lib/gvc/GVLayout.cpp"
2033,"lib/cgraph/CMakeLists.txt","lib/cgraph/CMakeLists.txt"
2033,"ci/ubuntu-20.10/Dockerfile","ci/ubuntu-20.10/Dockerfile"
2033,"tests/test_GVContext_create.cpp","tests/test_GVContext_create.cpp"
2033,"tests/test_simple.cpp","tests/test_simple.cpp"
2033,"tests/svgpp_context_interface.h","tests/svgpp_context_interface.h"
2033,"lib/expr/CMakeLists.txt","lib/expr/CMakeLists.txt"
2033,"lib/gvc/GVContext.h","lib/gvc/GVContext.h"
2033,"tests/svgpp_document_traverser.h","tests/svgpp_document_traverser.h"
2033,"lib/cgraph/AGraph.cpp","lib/cgraph/AGraph.cpp"
2033,"cmd/tools/CMakeLists.txt","cmd/tools/CMakeLists.txt"
2033,"CHANGELOG.md","CHANGELOG.md"
2033,"lib/gvc/CMakeLists.txt","lib/gvc/CMakeLists.txt"
2033,"lib/gvc/GVRenderData.h","lib/gvc/GVRenderData.h"
2033,"ci/test_coverage.py","ci/test_coverage.py"
2033,"lib/gvc/GVContext.cpp","lib/gvc/GVContext.cpp"
2033,"lib/gvc/GVLayout.h","lib/gvc/GVLayout.h"
2033,"lib/gvc/GVRenderData.cpp","lib/gvc/GVRenderData.cpp"
2033,"tests/svg_analyzer.cpp","tests/svg_analyzer.cpp"
2033,"tests/svgpp_document_traverser.cpp","tests/svgpp_document_traverser.cpp"
2033,"tests/test_GVContext_render_svg.cpp","tests/test_GVContext_render_svg.cpp"
1572,"lib/cdt/README","lib/cdt/README"
1572,"windows/include/FEATURE/sfio","windows/include/FEATURE/sfio"
1572,"lib/sfio/sfhdr.h","lib/sfio/sfhdr.h"
1572,"configure.ac","configure.ac"
1572,"lib/sfio/Makefile.am","lib/sfio/Makefile.am"
1572,"lib/sfio/README","lib/sfio/README"
1572,"lib/sfio/sfio.vcxproj","lib/sfio/sfio.vcxproj"
