"id","url","summary","description","type","priority","status","resolution","created","resolved","labels","versions","fixversions","comments"
1,"https://gitlab.com/graphviz/graphviz/-/issues/1","I try to build for git but for undefined reference errors","*Created by: thinksource*

I meet error after make:

make[3]: Entering directory `/root/graphviz/cmd/dot'
  CC     dot-dot.o
  CC     dot-no_builtins.o
  CCLD   dot
  CC     dot_builtins-dot.o
  CC     dot_builtins-dot_builtins.o
  CCLD   dot_builtins
../../lib/cgraph/.libs/libcgraph.so: error: undefined reference to 'aagerror'
../../lib/cgraph/.libs/libcgraph.so: error: undefined reference to 'aaglex'
../../lib/cgraph/.libs/libcgraph.so: error: undefined reference to 'aglexeof'
../../lib/cgraph/.libs/libcgraph.so: error: undefined reference to 'aagin'
../../lib/cgraph/.libs/libcgraph.so: error: undefined reference to 'aglexinit'
",NULL,NULL,"closed",NULL,"2013-10-23 00:07:52-04",NULL,"[]","[]","[]","[]"
3,"https://gitlab.com/graphviz/graphviz/-/issues/3","gvpack segfaults with provided sample","*Created by: nbkolchin*

Provided GIST segfault gvpack. Tested on graphviz:
- version 2.34.0 (20131127.0456) (MacOSX 10.9, Brew)
- version 2.34.0 (20131127.0454) (Linux/Gentoo)
- current git version under Linux.

https://gist.github.com/nbkolchin/7670917
",NULL,NULL,"closed",NULL,"2013-11-27 00:06:15-05",NULL,"[]","[]","[]","[]"
13,"https://gitlab.com/graphviz/graphviz/-/issues/13","Trailing backslash in a label causes an error","Try this:

```
$ cat test.dot
graph {
  a[label=""trailing backslash \\""];
}
```

```
$ dot -Tpng -o test.png test.dot
```

dot from graphiviz 2.36 on Windows complains:

```
Warning: c:\windows\temp\...\test.dot: syntax error in line 2 near ''
```

It also fails to create the PNG file.

(The [actual test case I had](https://gist.github.com/anonymous/8703724#file-gistfile1-dot-L20) complained about a syntax error near ',' despite there being no ',' on that line.)

dot from graphviz 2.26.3 on Ubuntu 13.10 is perfectly happy with this file and creates the expected PNG.

If the label is changed to contain anything after the escaped backslash (e.g. a single space), dot 2.36 on Windows stops complaining and starts generating PNGs.
",NULL,NULL,"closed",NULL,"2014-01-30 00:04:42-05",NULL,"[]","[]","[]","[]"
14,"https://gitlab.com/graphviz/graphviz/-/issues/14","Layout failed when use twopi and ortho at the same time","*Created by: tang3w*

GraphViz version: 2.36.0

input:

```
digraph g {
    layout=twopi
    splines=ortho
    a -> b
}
```

output:

```
Assertion failed: (np->cells[1]), function chkSgraph, file maze.c, line 315.
```

call stack:

![2014-02-25 9 07 20](https://f.cloud.github.com/assets/2226563/2257689/da5470d8-9e1d-11e3-95c2-1fcf223c4421.png)
",NULL,NULL,"closed",NULL,"2014-02-25 00:02:00-05","2022-06-11 00:03:14.541-04","[]","[]","[]","[]"
15,"https://gitlab.com/graphviz/graphviz/-/issues/15","Build is failing: libuuid problem","I compiled graphviz from github. I downloaded `libuuid` and build it, installed it before compiling graphgiz. Yet it fails with following error. 

```
make[4]: Leaving directory `/root/Bhandar/Applications/SourceCode/graphviz/cmd/lefty/examples'
make[4]: Entering directory `/root/Bhandar/Applications/SourceCode/graphviz/cmd/lefty'
  CCLD   lefty
/usr/lib/libSM.so: undefined reference to `uuid_unparse_lower@UUID_1.0'
/usr/lib/libSM.so: undefined reference to `uuid_generate@UUID_1.0'
```
",NULL,NULL,"closed",NULL,"2014-03-11 00:03:59-04","2020-05-28 00:07:45.288-04","[]","[]","[]","[]"
19,"https://gitlab.com/graphviz/graphviz/-/issues/19","Errors while cross-compiling on MinGW","```
make[4]: Entering directory `/home/rush/Programowanie/graphviz.git/lib/sfio/Sfio_f'
  CC       _sfclrerr.lo
In file included from ../../../lib/sfio/sfio_t.h:46:0,
                 from ../../../lib/sfio/sfhdr.h:29,
                 from _sfclrerr.c:14:
../../../lib/sfio/sfio.h:292:10: error: operator '&&' has no left operand
 #if _DLL && _DLL_INDIRECT_DATA
          ^
make[4]: *** [_sfclrerr.lo] Error 1
make[4]: Leaving directory `/home/rush/Programowanie/graphviz.git/lib/sfio/Sfio_f'
make[3]: *** [all-recursive] Error 1
make[3]: Leaving directory `/home/rush/Programowanie/graphviz.git/lib/sfio'
make[2]: *** [all-recursive] Error 1
make[2]: Leaving directory `/home/rush/Programowanie/graphviz.git/lib'
make[1]: *** [all-recursive] Error 1
make[1]: Leaving directory `/home/rush/Programowanie/graphviz.git'
make: *** [all] Error 2
```

Here is my config.log: http://x.rushbase.net/53b5e3a857ed75506806af16ce9a63501396abbd/config.log

Here is my configure line:
`./configure --host=i686-w64-mingw32 --enable-shared --disable-static`

Everything seems to detected properly:

```
graphviz-2.35.0 will be compiled with the following:

options:
  graph:         No (disabled deprecated)
  cgraph:        Yes
  digcola:       Yes
  expat:         No (missing library)
  fontconfig:    Yes
  freetype:      Yes
  glut:          No (missing GL/glut.h)
  ann:           No (ANN library not available)
  gts:           No (gts library not available)
  ipsepcola:     No (disabled by default - C++ portability issues)
  ltdl:          No (disabled)
  ortho:         Yes
  sfdp:          Yes
  shared:        Yes
  static:        No (disabled by default)
  qt:            Yes
  x:             No (disabled or unavailable)

commands:
  dot:           Yes (always enabled)
  neato:         Yes (always enabled)
  fdp:           Yes (always enabled)
  circo:         Yes (always enabled)
  twopi:         Yes (always enabled)
  gvpr:          Yes (always enabled)
  gvmap:         Yes (always enabled)
  lefty:         No (missing Xaw headers)
  smyrna:        No (disabled by default - experimental)
  gvedit:        Yes

plugin libraries:
  dot_layout:    Yes (always enabled)
  neato_layout:  Yes (always enabled)
  core:          Yes (always enabled)
  devil:         No (missing library)
  gd:            No (gd headers not found)
  gdiplus:       No (disabled by default - Windows only)
  gdk_pixbuf:    No (disabled)
  ghostscript:   No (missing Xrender)
  glitz:         No (disabled by default - incomplete)
  gtk:           Yes
  lasi:          No (lasi library not available)
  ming:          No (disabled by default - incomplete)
  pangocairo:    Yes
  poppler:       Yes
  quartz:        No (disabled by default - Mac only)
  rsvg:          Yes
  visio:         No (disabled by default - experimental)
  webp:          No (disabled by default - experimental)
  xlib:          No (disabled or unavailable)
```

It seems that sfio seems to be inherently Unix-based .. but I may be mistaken, please advise. I tried following http://www.graphviz.org/doc/winbuild.html but it seems to be more confusing than helpful as all the extra switches should not be necessary with properly configured pkg-config and cross-compilation environment. I believe my environment is proper.

Regards,
Damian",NULL,NULL,"closed",NULL,"2014-03-30 00:02:15-04","2021-12-13 00:04:51.018-05","[""windows""]","[]","[]","[]"
20,"https://gitlab.com/graphviz/graphviz/-/issues/20","Heap corruption in lib/common/labels.c/strdup_and_subst_obj0","*Created by: tivadj*

I am running graphviz in VS2013 (toolset v120, x64, Debug) and the standard library reports a heap memory corruption in plugin\core\gvrender_core_svg.c - svg_begin_edge() on line 285:
  free(ename);
The string ename itself is allocated in lib/common/labels.c - strdup_and_subst_obj0() on line 391:
    /\* allocate new string */
    newstr = gmalloc(newlen + 1);
It seems that (newlen+1) is not enough for some code paths and later the allocated buffer is overwritten.
As a workaround I allocate (newlen+256) bytes and my program doesn't fail.",NULL,NULL,"closed",NULL,"2014-04-08 00:05:21-04","2020-09-21 00:05:34.792-04","[]","[]","[]","[]"
23,"https://gitlab.com/graphviz/graphviz/-/issues/23","Missing stropts.h on Fedora 20","This bug https://bugzilla.redhat.com/show_bug.cgi?id=656245 causing build to fail on Fedora-20. Fedora-20 does not have 'stropts.h' file in glibc.

Any workaround it?

Details:

```
make[3]: Entering directory `/home/dilawar/Bhandar/Applications/Visualization/graphviz_git/lib/sfio'
Making all in Sfio_f
make[4]: Entering directory `/home/dilawar/Bhandar/Applications/Visualization/graphviz_git/lib/sfio/Sfio_f'
  CC     _sfclrerr.lo
In file included from _sfclrerr.c:14:0:
../../../lib/sfio/sfhdr.h:208:21: fatal error: stropts.h: No such file or directory
 #include <stropts.h>
                     ^
```
",NULL,NULL,"closed",NULL,"2014-05-10 00:05:10-04",NULL,"[]","[]","[]","[]"
25,"https://gitlab.com/graphviz/graphviz/-/issues/25","HTML-like labels: vertical alignment of nested tables","*Created by: gghh*

Hello,

the following `dot` code

``` html
strict graph  {
    node [label=""\N"",shape=none];
    pack [label=<

<table color=""red"">
  <tr>
    <td>
      <table color=""blue""
                 valign=""bottom""
                 fixedsize=""true"" height=""50"" width=""150"">
        <tr><td></td></tr>
      </table>
    </td>
    <td>
      <table color=""blue"" 
                 valign=""bottom"" 
                 fixedsize=""true"" height=""250"" width=""150"">
        <tr><td></td></tr>
      </table>
    </td>
  </tr>
</table>

        >];
}
```

compiled with `dot -Tpng g.dot -o g.png` produces this output, as expected:

![g 5](https://cloud.githubusercontent.com/assets/608502/3488566/55c823e8-04f0-11e4-85d6-cc8aa04733a6.png)

but if I try to have the two nested tables top aligned, i.e. with

``` html
strict graph  {
    node [label=""\N"",shape=none];
    pack [label=<

<table color=""red"">
  <tr>
    <td>
      <table color=""blue""
                 valign=""top""
                 fixedsize=""true"" height=""50"" width=""150"">
        <tr><td></td></tr>
      </table>
    </td>
    <td>
      <table color=""blue""
                 valign=""top""
                 fixedsize=""true"" height=""250"" width=""150"">
        <tr><td></td></tr>
      </table>
    </td>
  </tr>
</table>

        >];
}
```

I get this unexpected result (the table on the left somehow gets off the outermost table, the small squared cell disappears):

![g 6](https://cloud.githubusercontent.com/assets/608502/3488572/c2354d8a-04f0-11e4-9af9-0bc88bafb11c.png)

what I am trying to do: the innermost tables represent some records I have. They can be of an arbitrary number of rows, so I want to pack them into the outer table to keep them somehow together. I want them all to be part of the same node, and all top aligned.
I produce this programmatically, so fitting tables into tables is simpler than managing the layout of a single, top-level table.
",NULL,NULL,"closed",NULL,"2014-07-06 00:08:11-04","2018-07-28 00:04:57.977-04","[]","[]","[]","[]"
27,"https://gitlab.com/graphviz/graphviz/-/issues/27","SVG viewBox problem with 2.38.0","*Created by: gfredericks*

The following graph produces a bad SVG with `2.38.0`, while `2.36.0` does not seem to have the problem:

```
digraph G {
  graph [dpi = 300];
  node [fontname = ""monospace""];
  n24 [label=""24""];
  n83 [label=""8⋅3""];
  n64 [label=""6⋅4""];
  n122 [label=""12⋅2""];
  n432 [label=""4⋅3⋅2""];
  n622 [label=""6⋅2⋅2""];
  n3222 [label=""3⋅2⋅2⋅2""];
  n24 -> n83;
  n24 -> n64;
  n24 -> n122;
  n83 -> n432;
  n64 -> n432;
  n64 -> n622;
  n122 -> n622;
  n432 -> n3222;
  n622 -> n3222;
}
```

Here is the important part of the diff of the svg outputs (`2.38.0` is first, `2.36.0` is second):

```
7,8c7,8
< <svg width=""902pt"" height=""1083pt""
<  viewBox=""0.00 0.00 216.50 260.00"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">

---
> <svg width=""900pt"" height=""1083pt""
>  viewBox=""0.00 0.00 900.00 1083.33"" xmlns=""http://www.w3.org/2000/svg"" xmlns:xlink=""http://www.w3.org/1999/xlink"">
```

You can see in the first version the `viewBox` is no longer related to the `width` and `height` attributes. The result is that, for this particular graph, the image appears blank (presumably because there is nothing in that particular rectangle). If you manually adjust the output to be similar to the second version, the image appears fine.
",NULL,NULL,"closed",NULL,"2014-09-16 00:09:01-04",NULL,"[]","[]","[]","[]"
