"id","linked_id","summary","description","status","url","sha","created","merged","labels"
634,2044,"make some char pointer parameters to cgraph functions const","Towards #634.","merged","https://gitlab.com/graphviz/graphviz/-/merge_requests/2044","817700675dbe88878080a41890246964450c062a","2021-07-10 00:05:16.264-04","2021-07-18T01:18:07.054Z","[]"
2057,1760,"fix multiple definitions of CDT variables under MinGW on Windows","Building with MinGW on Windows resulted in lots of build errors of the form:

  …/x86_64-w64-mingw32/bin/ld.exe: CMakeFiles\cdt.dir/objects.a(dtdisc.c.obj):
    dtdisc.c:(.bss+0x0): multiple definition of `Dtset';
    CMakeFiles\cdt.dir/objects.a(dtclose.c.obj):dtclose.c:(.bss+0x0): first
    defined here

The problem is that this environment defines `_WIN32`, so it sees the `__declspec`
alternatives for `CDT_API` in cdt.h. This is fine as GCC understands `__declspec`,
but it results in variable declarations in this header then missing the `extern`
qualifier. GCC’s semantics, in contrast to MSVC, interpret this as a definition
rather than a declaration.

The solution here is to *always* apply `extern` to these declarations, as MSVC is
happy with this as well. This is only addressing the immediate cause, and not
the longer term issue that `__declspec(dllexport)` and `__declspec(dllimport)` in a
Windows build should really be mapped to `__attribute__((visibility(""default"")))`
and `__attribute__((visibility(""hidden"")))` in a non-Windows build, not to `extern`.

Fixes #1940. Thanks to @Synoecium and @swaldhoer for guidance on this fix.

----

@synoecium, @swaldhoer, do you have a chance to review/test this?","merged","https://gitlab.com/graphviz/graphviz/-/merge_requests/1760","88ca57327b090c4b0003f07e3bd243c95d7c95a4","2021-02-15 00:04:45.622-05","2021-04-24T16:27:24.371Z","[]"
2007,334,"Remove wishlist items; migrated to issues.","- https://gitlab.com/graphviz/graphviz/-/issues/2008
- https://gitlab.com/graphviz/graphviz/-/issues/2007
- https://gitlab.com/graphviz/graphviz/-/issues/2006
- https://gitlab.com/graphviz/graphviz/-/issues/2005
- https://gitlab.com/graphviz/graphviz/-/issues/2004

Towards #79","merged","https://gitlab.com/graphviz/graphviz.gitlab.io/-/merge_requests/334","3ce61ffda1d7becef3f70b7a5f2111c7332c5d98","2021-04-10 00:04:59.859-04","2021-04-10T23:51:33.660Z","[]"
2006,334,"Remove wishlist items; migrated to issues.","- https://gitlab.com/graphviz/graphviz/-/issues/2008
- https://gitlab.com/graphviz/graphviz/-/issues/2007
- https://gitlab.com/graphviz/graphviz/-/issues/2006
- https://gitlab.com/graphviz/graphviz/-/issues/2005
- https://gitlab.com/graphviz/graphviz/-/issues/2004

Towards #79","merged","https://gitlab.com/graphviz/graphviz.gitlab.io/-/merge_requests/334","3ce61ffda1d7becef3f70b7a5f2111c7332c5d98","2021-04-10 00:04:59.859-04","2021-04-10T23:51:33.660Z","[]"
2334,3035,"dot_builtins: pass full path to GTS library to clang","Clang was having trouble finding homebrew GTS on my macOS.

This is similar to a series of other changes I made to fix cmake builds
on macOS previously (search the codebase for _LINK_LIBRARIES).

Fixes #2334","merged","https://gitlab.com/graphviz/graphviz/-/merge_requests/3035","a9ab59f0bbfc15c419fab20a2401bc899137649c","2023-01-02 00:01:13.247-05","2023-01-03T08:55:46.169Z","[]"
2078,1980,"test case for #2078 and gvplugin bug fixing","This series started out as an attempt to address #2078, but I was soon side tracked into fixing orthogonal bugs I came across in plugin loading.","merged","https://gitlab.com/graphviz/graphviz/-/merge_requests/1980","45ae14230057452340ec4a67fab882da729b4739","2021-05-29 00:06:29.775-04","2021-06-05T02:44:59.735Z","[]"
1477,2033,"WIP: Add a very basic C++ API","Baby steps towards #2001.","closed","https://gitlab.com/graphviz/graphviz/-/merge_requests/2033","4a28ca138f27e4fb796caedbd90078e9cbc5ecdb","2021-07-04 00:08:07.471-04","","[]"
1521,1572,"remove compile time configuration via iffe","This patch series resolves #1422 and #1521.","merged","https://gitlab.com/graphviz/graphviz/-/merge_requests/1572","1a8df410a7469d962dc79c2c99846fb681e84a06","2020-09-12 00:02:27.984-04","2020-09-19T00:55:38.668Z","[]"
14,2701,"Fix overlap caused by penwidth for polygon-based nodes and normal and inv edge arrows","Following !2780, !2797, !2808, !2824, !2828, !2845 and !2849, this is the eighth in a series of MRs extracted from !2702. It fixes https://gitlab.com/graphviz/graphviz/-/issues/372 for all [polygon-based node shapes](https://graphviz.org/doc/info/shapes.html#polygon) (Note that this also includes ellipse-based shapes which Graphviz special-cases as two-sided polygons) except `cylinder` and for the `normal` and `inv` [primitive edge arrow shapes](https://graphviz.org/doc/info/arrows.html#primitive-shapes).

Upcoming MRs include (not necessarily in this order or partitioned like this):

- Overlap test cases for other settings of the Graphviz `shape`, `penwidth`, `dir`, `rankdir`, `arrowhead` and `arrowtail` attributes.
- Replacement of the use of the rounding macro `POINTS` with the non-rounding macro `INCH2PS` which started already in this MR since it caused overlap problems.
- Fixes for other primitive edge arrow shapes.

Below are images showing the stepwise fixes applied for this DOT source:
```
digraph g1 {
  graph [rankdir=TB]
  node [penwidth=2 shape=box color=""#00000060""]
  edge [dir=both arrowhead=onormal arrowtail=oinv penwidth=2 color=""#00000060""]  a -> b
}
```
I've used a semi-transparent pen color to make it easy to see were the overlaps are.

Original image:

![step0.svg](/uploads/f5664c86e94855d09adf8cf9fcec8c13/step0.svg)

After taking edge penwidth into account when positioning arrow:

![step1.svg](/uploads/73792345da1491ff980e97bd95163c60/step1.svg)

After taking node penwidth into account when clipping edge at node boundary:

![step2.svg](/uploads/b69b21887f3906664a55e4895efc71f1/step2.svg)

After clipping the edge just inside the node outline boundary instead of just outside (to avoid a gap):

![step3.svg](/uploads/feed75ad3714b8a7042ca86fb09d6ccc/step3.svg)

After taking edge penwidth into account when clipping the edge stem at the edge arrowhead or arrowtail:

![step4.svg](/uploads/5ab12b803df7659b688c1956af52af94/step4.svg)

Below is a list of node shape families and arrow types to show which are fixed and not by this MR.

[Arrow types](https://gitlab.com/magjac/graphviz/-/blob/main/lib/common/arrows.c#L29-36):
- [x] norm
- [ ] crow
- [ ] tee
- [ ] box
- [ ] diamond
- [ ] dot
- [ ] curve
- [ ] gap


[Node shape families](https://gitlab.com/magjac/graphviz/-/blob/main/lib/common/shapes.c#L42-79):
- [x] poly
- [x] point
- [ ] record
- [ ] epsf
- [x] star
- [ ] cylinder","merged","https://gitlab.com/graphviz/graphviz/-/merge_requests/2701","beede1476b3b23cd22ca1cb0f3b089aa397e42ab","2022-05-27 00:06:15.781-04","2022-10-11T20:46:22.761Z","[]"
1854,3148,"CI: build mingle and smyrna on macOS under Autotools","Gitlab: closes #1854","merged","https://gitlab.com/graphviz/graphviz/-/merge_requests/3148","1e35f29bbf9c504d49c954b55a0686ad19d2c0e1","2023-04-01 00:03:11.423-04","2023-04-04T22:58:06.643Z","[]"
