"id","version","addedelements","removedelements","description"
1740,"8.0.1","{lib/edgepaint/lab_gamut.h}","{lib/edgepaint/lab_gamut.h}","Add the following notes to the Winbuild page:
http://www.graphviz.org/doc/winbuild.html

1. Windows SDK 8.1 should be installed in Visual Studio 2019:
  - https://stackoverflow.com/questions/43704734/how-to-fix-the-error-windows-sdk-version-8-1-was-not-found
  - https://developer.microsoft.com/en-us/windows/downloads/sdk-archive/

2. MSVC v140 should be added
  - https://stackoverflow.com/questions/33154696/msbuild-error-the-builds-tools-for-v140-platform-toolset-v140-cannot-be-f"
1940,"4.0.0","{}","{cmd/tools/gvpack.c}","## Steps to reproduce

mingw32-make

## Expected Behaviour

Successful project building 

## Actual Behaviour

It fails on 6%
```
C:/Projects/MSYS2/mingw64/bin/../lib/gcc/x86_64-w64-mingw32/10.2.0/../../../../x86_64-w64-mingw32/bin/ld.exe: CMakeFiles\cdt.dir/objects.a(dtdisc.c.obj):dtdisc.c:(.bss+0x0): multiple definition of `Dtset'; CMakeFiles\cdt.dir/objects.a(dtclose.c.obj):dtclose.c:(.bss+0x0): first defined here
```
Full message log here: https://pastebin.com/3kR4JVxe

## OS Version

Windows 7 - 64
MSYS2
gcc 10.2.0

## Graphviz Version

2.46.0"
1836,"7.0.5","{lib/glcomp/glcomptexture.h}","{lib/glcomp/glcomptexture.h}","The missing tools are:
* circo
* cluster
* diffimg
* dot2gxl
* dot_builtins
* dotty
* edgepaint
* fdp
* gc
* gv2gml
* gv2gxl
* gvedit
* gvmap
* gvmap.sh
* gvpr
* gxl2dot
* lefty
* lneato
* mingle
* neato
* osage
* patchwork
* prune
* sfdp
* smyrna
* twopi
* vimdot

See also https://gitlab.com/graphviz/graphviz/-/issues/1753 which tracks the difference between CMake and MSBuild builds on Windows."
1818,"5.0.1","{}","{cmd/lefty/lefty.c}","This is spawned from https://gitlab.com/graphviz/graphviz/-/issues/1753#note_372031810

## Steps to reproduce

Install Graphviz using the `MSBuild` ZIP archive, e.g. by following [these instructions](https://forum.graphviz.org/t/new-simplified-installation-procedure-on-windows/224#installation-instructions-for-custom-installations-recommended-for-advanced-users)

## Expected Behaviour

Being able to run `lefty`.

## Actual Behaviour

```
C:\Users\magja>lefty
'lefty' is not recognized as an internal or external command,
operable program or batch file.
```

## OS Version

Windows 10

## Graphviz Version

`dot - graphviz version 2.44.1 (20200629.0846)`

## Additional info

Enabling `lefty` in MSBuild builds gives:

`C:\Users\magja\graphviz\cmd\lefty\lefty.c(363,42): error C2039: '_cnt': is not a member of '_iobuf' [C:\Users\magja\graphviz\cmd\lefty\lefty.vcxproj]`

See e.g. [this pipeline](https://gitlab.com/magjac/graphviz/-/pipelines/162207634).

Some subprojects including `lefty` and `gvedit` were removed in https://gitlab.com/graphviz/graphviz/-/commit/b191b604e19a633d7f80e02d43e80e6901874b82  because of problems, seemingly intended as a temporary solution."
1457,"2.48.0","{lib/edgepaint/lab_gamut.c}","{lib/edgepaint/lab_gamut.c}","Hi all,

May I please suggest a build for Windows 10 x64?
I tried doing it myself, and it appears to be that many dependencies are missing.
For example: `\graphviz\windows\dependencies\libraries\x64\lib\xml2.lib`.

Thanks. Refael."
1544,"7.0.3","{lib/neatogen/overlap.c}","{lib/neatogen/overlap.c}","When building without triangle support, the following function has an invalid signature:
https://gitlab.com/graphviz/graphviz/blob/master/lib/neatogen/overlap.c#L686"
1464,"4.0.0","{}","{cmd/tools/gvpack.c}","I got to the Coverity Scan static analysis for graphviz, so sharing. Hopefully it will be useful. I am sorry I did only basic filtering of false positives - so there will be probably still many false positives. But at least [#def27], [#def29], and [#def185] - [#def189] seems suspicious. [graphviz-2.40.1-coverity-scan-results.txt](/uploads/056a54ec8ebb2d47e86a0de38beaf7f5/graphviz-2.40.1-coverity-scan-results.txt)"
2001,"2.49.2","{lib/gvc++/GVRenderData.cpp}","{lib/gvc++/GVRenderData.cpp}","In order to be able to take advantage of many modern C++ features such as automatic memory managment, it would be useful if Graphviz had a high-level C++ API.

This is spawned from a [discussion at the forum](https://forum.graphviz.org/t/work-going-forward/165/28?u=magjac). I though it might be better to collect discussion about it in one place.

I realize that this is not a priority for the Graphviz project right now, but since I'm working on creating a new test suite written in C++, I will implement parts of such an API anyway."
1798,"6.0.2","{lib/circogen/circpos.h,lib/glcomp/glcomptextpng.h,lib/sfdpgen/sfdpinternal.h,lib/glcomp/glcomptexture.h,lib/neatogen/call_tri.h,lib/neatogen/overlap.h,lib/neatogen/voronoi.h,lib/pathplan/solvers.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/neatogen/overlap.c,cmd/smyrna/glexpose.h,lib/neatogen/pca.h,lib/sfdpgen/sfdp.h,lib/osage/osage.h,cmd/gvmap/country_graph_coloring.h,cmd/smyrna/viewportcamera.h,lib/edgepaint/intersection.h,lib/edgepaint/lab_gamut.h,lib/dotgen/dot.h,tclpkg/tkstubs/tkInt.h,lib/circogen/circo.h,plugin/pango/gvgetfontlist.h,lib/neatogen/closest.h,lib/circogen/blockpath.h,lib/circogen/blocktree.h}","{lib/circogen/circpos.h,lib/glcomp/glcomptextpng.h,lib/sfdpgen/sfdpinternal.h,lib/glcomp/glcomptexture.h,lib/neatogen/call_tri.h,lib/neatogen/overlap.h,lib/neatogen/voronoi.h,lib/pathplan/solvers.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/neatogen/overlap.c,cmd/smyrna/glexpose.h,lib/neatogen/pca.h,lib/sfdpgen/sfdp.h,lib/osage/osage.h,cmd/gvmap/country_graph_coloring.h,cmd/smyrna/viewportcamera.h,lib/edgepaint/intersection.h,lib/edgepaint/lab_gamut.h,lib/dotgen/dot.h,tclpkg/tkstubs/tkInt.h,lib/circogen/circo.h,plugin/pango/gvgetfontlist.h,lib/neatogen/closest.h,lib/circogen/blockpath.h,lib/circogen/blocktree.h}","A nice easy issue for anyone to tackle if they get to it before me: a lot of code comments tell the reader to refer to CVS, but the code is now hosted using Git at Gitlab. I think we should just remove any comments referencing CVS."
1798,"7.0.2","{lib/circogen/circpos.h,lib/glcomp/glcomptextpng.h,lib/sfdpgen/sfdpinternal.h,lib/neatogen/call_tri.h,lib/neatogen/overlap.h,lib/neatogen/voronoi.h,lib/pathplan/solvers.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/circogen/block.c,lib/neatogen/overlap.c,cmd/smyrna/glexpose.h,lib/circogen/block.h,lib/neatogen/pca.h,lib/sfdpgen/sfdp.h,lib/osage/osage.h,cmd/gvmap/country_graph_coloring.h,cmd/smyrna/viewportcamera.h,lib/edgepaint/intersection.h,lib/dotgen/dot.h,tclpkg/tkstubs/tkInt.h,lib/circogen/circo.h,lib/common/htmllex.h,plugin/pango/gvgetfontlist.h,lib/neatogen/closest.h,lib/circogen/blockpath.h,lib/circogen/blocktree.h,lib/fdpgen/comp.h}","{lib/circogen/circpos.h,lib/glcomp/glcomptextpng.h,lib/sfdpgen/sfdpinternal.h,lib/neatogen/call_tri.h,lib/neatogen/overlap.h,lib/neatogen/voronoi.h,lib/pathplan/solvers.h,lib/ast/strcopy.c,lib/edgepaint/lab_gamut.c,lib/circogen/block.c,cmd/smyrna/glexpose.h,lib/neatogen/overlap.c,lib/neatogen/pca.h,lib/circogen/block.h,lib/sfdpgen/sfdp.h,lib/osage/osage.h,cmd/gvmap/country_graph_coloring.h,cmd/smyrna/viewportcamera.h,lib/edgepaint/intersection.h,lib/dotgen/dot.h,tclpkg/tkstubs/tkInt.h,lib/circogen/circo.h,lib/common/htmllex.h,plugin/pango/gvgetfontlist.h,lib/neatogen/closest.h,lib/circogen/blockpath.h,lib/circogen/blocktree.h,lib/fdpgen/comp.h}","A nice easy issue for anyone to tackle if they get to it before me: a lot of code comments tell the reader to refer to CVS, but the code is now hosted using Git at Gitlab. I think we should just remove any comments referencing CVS."
